Code,Description,Source URL
A07.3,Isosporiasis Incl.: Infection due to Isospora belli and Isospora hominis Intestinal coccidiosis Isosporosis,https://icd.who.int/browse10/2019/en#/A00-A09
A07.8,Other specified protozoal intestinal diseases Incl.: Intestinal trichomoniasis Sarcocystosis Sarcosporidiosis,https://icd.who.int/browse10/2019/en#/A00-A09
A07.9,"Protozoal intestinal disease, unspecified Incl.: Flagellate diarrhoea Protozoal: colitis diarrhoea dysentery",https://icd.who.int/browse10/2019/en#/A00-A09
A08,"Viral and other specified intestinal infections Excl.: influenza with involvement of gastrointestinal tract (J09, J10.8, J11.8)",https://icd.who.int/browse10/2019/en#/A00-A09
A08.0,Rotaviral enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.1,Acute gastroenteropathy due to Norovirus Incl.: Noroviral enteritis Small round structured virus enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.2,Adenoviral enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.3,Other viral enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.4,"Viral intestinal infection, unspecified Incl.: Viral: enteritis NOS gastroenteritis NOS gastroenteropathy NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A08.5,Other specified intestinal infections,https://icd.who.int/browse10/2019/en#/A00-A09
A09,"Other gastroenteritis and colitis of infectious and unspecified origin Excl.: due to bacterial, protozoal, viral and other specified infectious agents (A00-A08) noninfective (see noninfectious) diarrhoea (K52.9) noninfective (see noninfectious) diarrhoea neonatal (P78.3)",https://icd.who.int/browse10/2019/en#/A00-A09
A09.0,"Other and unspecified gastroenteritis and colitis of infectious origin Incl.: Catarrh, enteric or intestinal Diarrhoea: acute bloody acute haemorrhagic acute watery dysenteric epidemic Infectious or septic colitis enteritis gastroenteritis NOS haemorrhagic Infectious (neonatal) diarrhoea NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A09.9,Gastroenteritis and colitis of unspecified origin Incl.: Neonatal diarrhoea NOS Excl.: indeterminate colitis (K52.3),https://icd.who.int/browse10/2019/en#/A00-A09
A15-,ICD-10 Version:2016 - English,https://icd.who.int/browse10/2019/en#/A15-A19
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",https://icd.who.int/browse10/2019/en#/A15-A19
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture Incl.: Tuberculosis of lung, bacteriologically confirmed Tuberculous: bronchiectasis fibrosis of lung pneumonia pneumothorax confirmed bacteriologically with or without culture Excl.: confirmed by culture only (A15.1)",https://icd.who.int/browse10/2019/en#/A15-A19
A15.1,"Tuberculosis of lung, confirmed by culture only Incl.: Conditions listed in A15.0, confirmed by culture only",https://icd.who.int/browse10/2019/en#/A15-A19
A15.2,"Tuberculosis of lung, confirmed histologically Incl.: Conditions listed in A15.0, confirmed histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A15.3,"Tuberculosis of lung, confirmed by unspecified means Incl.: Conditions listed in A15.0, confirmed but unspecified whether bacteriologically or histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically Incl.: Tuberculosis of lymph nodes: hilar mediastinal tracheobronchial confirmed bacteriologically and histologically Excl.: specified as primary (A15.7)",https://icd.who.int/browse10/2019/en#/A15-A19
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically Incl.: Tuberculosis of: bronchus glottis larynx trachea confirmed bacteriologically and histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically Incl.: Tuberculosis of pleura Tuberculous empyema confirmed bacteriologically and histologically Excl.: in primary respiratory tuberculosis, confirmed bacteriologically and histologically (A15.7)",https://icd.who.int/browse10/2019/en#/A15-A19
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically Incl.: Mediastinal tuberculosis Nasopharyngeal tuberculosis Tuberculosis of: nose sinus [any nasal] confirmed bacteriologically and histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",https://icd.who.int/browse10/2019/en#/A15-A19
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative Incl.: Tuberculous: bronchiectasis fibrosis of lung pneumonia pneumothorax bacteriologically and histologically negative",https://icd.who.int/browse10/2019/en#/A15-A19
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done Incl.: Conditions listed in A16.0, bacteriological and histological examination not done",https://icd.who.int/browse10/2019/en#/A15-A19
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation Incl.: Tuberculosis of lung Tuberculous: bronchiectasis fibrosis of lung pneumonia pneumothorax NOS (without mention of bacteriological or histological confirmation)",https://icd.who.int/browse10/2019/en#/A15-A19
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation Incl.: Tuberculosis of lymph nodes: hilar intrathoracic mediastinal tracheobronchial NOS (without mention of bacteriological or histological confirmation) Excl.: when specified as primary (A16.7)",https://icd.who.int/browse10/2019/en#/A15-A19
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation Incl.: Tuberculosis of: bronchus glottis larynx trachea NOS (without mention of bacteriological or histological confirmation)",https://icd.who.int/browse10/2019/en#/A15-A19
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation Incl.: Tuberculosis of pleura Tuberculous: empyema pleurisy NOS (without mention of bacteriological or histological confirmation) Excl.: in primary respiratory tuberculosis (A16.7)",https://icd.who.int/browse10/2019/en#/A15-A19
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation Incl.: Primary: respiratory tuberculosis NOS tuberculous complex,https://icd.who.int/browse10/2019/en#/A15-A19
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation Incl.: Mediastinal tuberculosis Nasopharyngeal tuberculosis Tuberculosis of: nose sinus [any nasal] NOS (without mention of bacteriological or histological confirmation)",https://icd.who.int/browse10/2019/en#/A15-A19
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation Incl.: Respiratory tuberculosis NOS Tuberculosis NOS",https://icd.who.int/browse10/2019/en#/A15-A19
A18,Tuberculosis of other organs,https://icd.who.int/browse10/2019/en#/A15-A19
A18.2,"Tuberculous peripheral lymphadenopathy Incl.: Tuberculous adenitis Excl.: tuberculosis of lymph nodes: intrathoracic (A15.4, A16.3) mesenteric and retroperitoneal (A18.3) tuberculous tracheobronchial adenopathy (A15.4, A16.3)",https://icd.who.int/browse10/2019/en#/A15-A19
