P59.3,Neonatal jaundice from breast milk inhibitor
P59.8,Neonatal jaundice from other specified causes
P59.9,"Neonatal jaundice, unspecified Incl.: Physiological jaundice (intense)(prolonged) NOS"
P60,Disseminated intravascular coagulation of fetus and newborn Incl.: Defibrination syndrome of fetus or newborn
P61,Other perinatal haematological disorders Excl.: transient hypogammaglobulinaemia of infancy (D80.7)
P61.0,Transient neonatal thrombocytopenia Incl.: Neonatal thrombocytopenia due to: exchange transfusion idiopathic maternal thrombocytopenia isoimmunization
P61.1,Polycythaemia neonatorum
P61.2,Anaemia of prematurity
P61.3,Congenital anaemia from fetal blood loss
P61.4,"Other congenital anaemias, not elsewhere classified Incl.: Congenital anaemia NOS"
P61.5,Transient neonatal neutropenia
P61.6,Other transient neonatal disorders of coagulation
P61.8,Other specified perinatal haematological disorders
P61.9,"Perinatal haematological disorder, unspecified"
